last_name,first_name,party,state,filing_year,link
Carper,Thomas R.,D,DE,2024,https://efdsearch.senate.gov/search/view/annual/04db916f-2633-4633-ac3d-3fbda2e9c134/
Carson,André,D,IN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060751.pdf
Carter,"Earl L. ""Buddy""",R,GA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059359.pdf
Carter,John R.,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057735.pdf
Carter,Troy A.,D,LA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220481.pdf
Cartwright,Matt,D,PA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059028.pdf
Casar,Greg,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059479.pdf
Case,Ed,D,HI,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060408.pdf
Casey,Robert P.,D,PA,2024,https://efdsearch.senate.gov/search/view/annual/f80907e1-7f43-4db1-8dda-28d885483742/
Cassidy,Bill,R,LA,2024,https://efdsearch.senate.gov/search/view/annual/878c4bde-388b-453b-8a38-b753aa618074/
Casten,Sean,D,IL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057544.pdf
Castor,Kathy,D,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059113.pdf
Castro,Joaquin,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220605.pdf
Chavez-DeRemer,Lori,R,OR,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060899.pdf
Cherfilus-McCormick,Sheila,D,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059703.pdf
Chu,Judy,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059071.pdf
Ciscomani,Juan,R,AZ,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059453.pdf
Clark,Katherine M.,D,MA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059034.pdf
Clarke,Yvette D.,D,NY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062455.pdf
Cleaver,Emanuel,D,MO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059684.pdf
Cline,Ben,R,VA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059793.pdf
Cloud,Michael,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059227.pdf
Clyburn,James E.,D,SC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060249.pdf
Clyde,Andrew S.,R,GA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061852.pdf
Cohen,Steve,D,TN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060314.pdf
Cole,Tom,R,OK,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061100.pdf
Collins,Mike,R,GA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060539.pdf
Collins,Susan M.,R,ME,2024,https://efdsearch.senate.gov/search/view/annual/f2f01d23-0af5-4958-984c-e97e7b2f8544/
Comer,James,R,KY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060545.pdf
Connolly,Gerald E.,D,VA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057570.pdf
Coons,Christopher A.,D,DE,2024,https://efdsearch.senate.gov/search/view/annual/dd3245e1-b4c3-4196-882a-4012cf2bd524/
Cornyn,John,R,TX,2024,https://efdsearch.senate.gov/search/view/annual/7f1d97b6-ee67-4358-8116-9d20d440f90b/
Correa,J. Luis,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059001.pdf
Cortez Masto,Catherine,D,NV,2024,https://efdsearch.senate.gov/search/view/annual/a8706c27-3a15-492e-8d3b-86a35d631ce0/
Costa,Jim,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060909.pdf
Cotton,Tom,R,AR,2024,https://efdsearch.senate.gov/search/view/annual/1ecc063e-2ddb-467a-a938-c6f677662b95/
Courtney,Joe,D,CT,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057521.pdf
Craig,Angie,D,MN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220496.pdf
Cramer,Kevin,R,ND,2024,https://efdsearch.senate.gov/search/view/annual/9025ef30-3182-4f55-98fd-cdf184ddd34b/
Crane,Elijah,R,AZ,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060393.pdf
Crapo,Mike,R,ID,2024,https://efdsearch.senate.gov/search/view/annual/0e3b35aa-e3be-4524-a1d0-00f8f10c2fe2/
Crawford,"Eric A. ""Rick""",R,AR,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057567.pdf
Crenshaw,Dan,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062732.pdf
Crockett,Jasmine,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061435.pdf
Crow,Jason,D,CO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059547.pdf
Cruz,Ted,R,TX,2024,https://efdsearch.senate.gov/search/view/annual/9675a1d6-d0cc-48bb-b0ee-fb1b99c3de0d/
Cuellar,Henry,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060039.pdf
Curtis,John R.,R,UT,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057450.pdf
Cárdenas,Tony,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059460.pdf
D'Esposito,Anthony,R,NY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061470.pdf
Daines,Steve,R,MT,2024,https://efdsearch.senate.gov/search/view/annual/a9295e86-a2ec-426f-a3e7-ef5329e2a227/
Davids,Sharice,D,KS,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060299.pdf
Davidson,Warren,R,OH,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061293.pdf
Davis,Danny K.,D,IL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062685.pdf
Davis,Donald G.,D,NC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060732.pdf
De La Cruz,Monica,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059362.pdf
DeGette,Diana,D,CO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059101.pdf
DeLauro,Rosa L.,D,CT,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060512.pdf
DeSaulnier,Mark,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059653.pdf
Dean,Madeleine,D,PA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059700.pdf
DelBene,Suzan K.,D,WA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059847.pdf
Deluzio,Christopher R.,D,PA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057068.pdf
DesJarlais,Scott,R,TN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060164.pdf
Diaz-Balart,Mario,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059030.pdf
Dingell,Debbie,D,MI,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057106.pdf
Doggett,Lloyd,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057370.pdf
Donalds,Byron,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062779.pdf
Duarte,John S.,R,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220483.pdf
Duckworth,Tammy,D,VA,2023,https://efdsearch.senate.gov/search/view/annual/014b5055-8073-451f-8dcb-d7eec191e51a/
Duncan,Jeff,R,SC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060221.pdf
Dunn,Neal P.,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059499.pdf
Durbin,Richard J.,D,IL,2024,https://efdsearch.senate.gov/search/view/paper/7d9d262c-64d6-4a65-adb5-59127dae1bb0/
Edwards,Chuck,R,NC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059419.pdf
Ellzey,Jake,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057509.pdf
Emmer,Tom,R,MN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220484.pdf
Ernst,Joni,R,IA,2024,https://efdsearch.senate.gov/search/view/annual/db76aaa0-c2ec-49a1-8a5f-87c2ec97d22e/
Escobar,Veronica,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059323.pdf
Eshoo,Anna G.,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220419.pdf
Espaillat,Adriano,D,NY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060169.pdf
Estes,Ron,R,KS,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060012.pdf
Evans,Dwight,D,PA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060496.pdf
Ezell,Mike,R,MS,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057629.pdf
Fallon,Pat,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060003.pdf
Feenstra,Randy,R,IA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061096.pdf
Ferguson,A. Drew,R,GA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060230.pdf
Fetterman,John,D,PA,2024,https://efdsearch.senate.gov/search/view/annual/9f9a065f-a7f8-4647-8e97-2c7b33519cd8/
Finstad,Brad,R,MN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060529.pdf
Fischbach,Michelle,R,MN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061489.pdf
Fischer,Deb,R,NE,2024,https://efdsearch.senate.gov/search/view/annual/7a3e75e9-fdb2-48aa-8583-7558d53f2cf3/
Fitzgerald,Scott,R,WI,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059577.pdf
Fitzpatrick,Brian K.,R,PA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059165.pdf
Fleischmann,"Charles J. ""Chuck""",R,TN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220420.pdf
Fletcher,Lizzie,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058974.pdf
Flood,Mike,R,NE,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059391.pdf
Foster,Bill,D,IL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057232.pdf
Foushee,Valerie P.,D,NC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057344.pdf
Foxx,Virginia,R,NC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059335.pdf
Frankel,Lois,D,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057235.pdf
Franklin,C. Scott,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057719.pdf
Frost,Maxwell,D,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061610.pdf
Fry,Russell,R,SC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058966.pdf
Fulcher,Russ,R,ID,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060187.pdf
Gallego,Ruben,D,AZ,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058791.pdf
Garamendi,John,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059805.pdf
Garbarino,Andrew R.,R,NY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059492.pdf
Garcia,Mike,R,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060154.pdf
Garcia,Robert,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060154.pdf
Garcia,Sylvia R.,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059533.pdf
Garcia,"Jesús G. ""Chuy""",D,IL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057643.pdf
Gillibrand,Kirsten E.,D,NY,2024,https://efdsearch.senate.gov/search/view/annual/7ae7aae6-03bb-4d7f-a956-8adcba494f99/
Gimenez,Carlos A.,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060592.pdf
Golden,Jared F.,D,ME,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057089.pdf
Goldman,Daniel S.,D,NY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057681.pdf
Gomez,Jimmy,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059944.pdf
Gonzales,Tony,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062766.pdf
Gonzalez,Vicente,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220595.pdf
Gonzalez-Colon,Jenniffer,R,PR,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059869.pdf
Good,Bob,R,VA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060656.pdf
Gooden,Lance,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061400.pdf
Gosar,Paul A.,R,AZ,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220466.pdf
Gottheimer,Josh,D,NJ,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057523.pdf
Graham,Lindsey,R,SC,2024,https://efdsearch.senate.gov/search/view/annual/82a8cef2-fa7e-4ce7-92d2-798715c28d5f/
Granger,Kay,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057021.pdf
Grassley,Chuck,R,IA,2024,https://efdsearch.senate.gov/search/view/annual/2f0bcbce-b93f-44f0-b1cf-4380419ce0af/
Graves,Garret,R,LA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059697.pdf
Graves,Sam,R,MO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061251.pdf
Green,Al,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060574.pdf
Green,Mark E.,R,TN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061193.pdf
Greene,Marjorie Taylor,R,GA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057355.pdf
Griffith,H. Morgan,R,VA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059696.pdf
Grijalva,Raúl M.,D,AZ,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059510.pdf
Grothman,Glenn,R,WI,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060079.pdf
Guest,Michael,R,MS,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220573.pdf
Guthrie,Brett,R,KY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220485.pdf
Hageman,Harriet M.,R,WY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059540.pdf
Hagerty,Bill,R,TN,2024,https://efdsearch.senate.gov/search/view/annual/03b313b5-2492-4264-8fa0-2f14bbafde77/
Harder,Josh,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058971.pdf
Harris,Andy,R,MD,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062677.pdf
Harshbarger,Diana,R,TN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220574.pdf
Hassan,Margaret Wood,D,NH,2024,https://efdsearch.senate.gov/search/view/annual/32481311-3b9a-4ad3-be14-520c173cf5e3/
Hawley,Josh,R,MO,2024,https://efdsearch.senate.gov/search/view/annual/b5927b5e-a907-4e99-9ad4-957f0e2bceb3/
Hayes,Jahana,D,CT,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059686.pdf
Heinrich,Martin,D,NM,2024,https://efdsearch.senate.gov/search/view/annual/ea129bbd-77b9-47a0-aeb9-f5faa5158934/
Hern,Kevin,R,OK,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060913.pdf
Hickenlooper,John W.,D,CO,2024,https://efdsearch.senate.gov/search/view/annual/5f667aa1-b9ab-4fe2-bced-c43f4f103c48/
Higgins,Clay,R,LA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057485.pdf
Hill,J. French,R,AR,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059437.pdf
Himes,James A.,D,CT,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061258.pdf
Arenholz,Ashley,R,IA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057096.pdf
Hirono,Mazie K.,D,HI,2024,https://efdsearch.senate.gov/search/view/annual/16dad072-2ce0-4bc8-ad36-c51aca7ec2fb/
Hoeven,John,R,ND,2024,https://efdsearch.senate.gov/search/view/annual/c1569647-99b6-40c2-be51-97c8d800d9e6/
Horsford,Steven,D,NV,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061279.pdf
Houchin,Erin,R,IN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058925.pdf
Houlahan,Chrissy,D,PA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060595.pdf
Hoyer,Steny H.,D,MD,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060360.pdf
Hoyle,Val T.,D,OR,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058978.pdf
Hudson,Richard,R,NC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060006.pdf
Huffman,Jared,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060152.pdf
Huizenga,Bill,R,MI,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060544.pdf
Hunt,Wesley,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059868.pdf
Hyde-Smith,Cindy,R,MS,2024,https://efdsearch.senate.gov/search/view/annual/d20d2883-5d04-4355-901c-cce12f0c9a55/
Issa,Darrell,R,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060532.pdf
Ivey,Glenn,D,MD,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059399.pdf
Jackson,Jeff,D,NC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061286.pdf
