9.6,VTIP - Vanguard Short-Term Inflation-Protected Securities,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
9.7,BNDX - Vanguard Total International Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
9.8,VCR - Vanguard Consumer Discretion ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
9.9,VDC - Vanguard Consumer Staples ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
9.10,VDE - Vanguard Energy ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.11,VFH - Financial ETF Vanguard,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
9.12,VHT - Vanguard Health Care ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
9.13,VIS - Vanguard Industrials ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
9.14,VGT - Information Technology ETF Vanguard,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
9.15,VAW - Vanguard Materials ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.16,VPU - Vanguard Utilities ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.17,VNQI - Vanguard Global ex-U.S. Real Estate ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.18,VWO - Vanguard FTSE Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
9.19,VMBS - Vanguard Mortgage-Backed Securities ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
9.20,VNQ - Vanguard Real Estate ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
9.21,VO - Vanguard Mid-Cap ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
9.22,VB - Vanguard Small-Cap ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
9.23,BSV - Vanguard Short-Term Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
9.24,VOX - Vanguard Communication Services  ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10,Osaic Brokerage Account,Brokerage/Managed Account,Self,,,
10.1,"Pershing LLC(Pierre, SD)Type: Money Market Account,",Bank Deposit,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
10.2,IAU - iShares Gold Trust Shares of the iShares Gold Trus,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
10.3,BSV - Vanguard Short-Term Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000","Excepted Investment Fund,","$5,001 - $15,000"
10.4,BND - Vanguard Total Bond Market ETF,Mutual FundsExchange Traded Fund/Note,Self,"$250,001 - $500,000","Excepted Investment Fund,","$5,001 - $15,000"
10.5,VEA - Vanguard FTSE Developed Markets ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,","$2,501 - $5,000"
10.6,VTIP - Vanguard Short-Term Inflation-Protected Securities,Mutual FundsExchange Traded Fund/Note,Self,"$250,001 - $500,000","Excepted Investment Fund,","$5,001 - $15,000"
10.7,BNDX - Vanguard Total International Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000","Excepted Investment Fund,","$5,001 - $15,000"
10.8,VCR - Vanguard Consumer Discretion ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,","$201 - $1,000"
10.9,VDC - Vanguard Consumer Staples ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
10.10,VDE - Vanguard Energy ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
10.11,VFH - Vanguard Financials ETF,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000","Excepted Investment Fund,","$1,001 - $2,500"
10.12,VHT - Vanguard Health Care ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,","$201 - $1,000"
10.13,VIS - Vanguard Industrials ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
10.14,VGT - Vanguard Information Tech ETF,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000","Excepted Investment Fund,","$201 - $1,000"
10.15,VAW - Vanguard Materials ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.16,VPU - Vanguard Utilities ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,","$201 - $1,000"
10.17,VOX - Vanguard Communication Services  ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.18,VNQI - Vanguard Global ex-U.S. Real Estate ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
10.19,VWO - Vanguard FTSE Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
10.20,VMBS - Vanguard Mortgage-Backed Securities ETF,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000","Excepted Investment Fund,","$5,001 - $15,000"
10.21,VNQ - Vanguard Real Estate ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
10.22,VO - Vanguard Mid-Cap ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
10.23,VB - Vanguard Small-Cap ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,","$201 - $1,000"
10.24,SPHY - SPDR Portfolio High Yield Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000","Excepted Investment Fund,","$5,001 - $15,000"
