2.32,Sarpy County Neb Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 06/15/2028,Government SecuritiesMunicipal Security,Joint,"$100,001 - $250,000","Interest,","$2,501 - $5,000"
2.33,Saunders County Neb General Obligation BondRate/Coupon: 3.0%  Matures: 11/01/2027,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$2,501 - $5,000"
2.34,"Charles Schwab(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Joint,"$250,001 - $500,000","Interest,","$5,001 - $15,000"
2.35,Scotts Bluff County General Obligation BondRate/Coupon: 1.7%  Matures: 01/15/2026,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000","Interest,","$201 - $1,000"
2.36,SPY - S&P 500 SPDR,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$15,001 - $50,000"
2.37,SPYV - SPDR S&P 500 Value Portfolio ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$50,001 - $100,000"
2.38,SLYV - S&P Smallcap Value ETF SPDR,Mutual FundsExchange Traded Fund/Note,Joint,"$250,001 - $500,000","Excepted Investment Fund,","$5,001 - $15,000"
2.39,MDY - S&P Midcap 400 SPDR,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$15,001 - $50,000"
2.40,Stanton County Neb Util Revenue Bond Rate/Coupon: 1.7%  Matures: 06/01/2027,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
2.41,VTEB - Vanguard Tax-Exempt Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$50,001 - $100,000"
2.42,VNQ - Vanguard Real Estate ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)","Excepted Investment Fund,","$100,001 - $1,000,000"
2.43,VOO - Vanguard S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$2,501 - $5,000"
2.44,Schwab U.S. TIPS ETF (SCHP),Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
2.45,Vanguard Total Bond Market Index Fund (BND),Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$15,001 - $50,000"
2.46,DFGBX - Dfa Five-Year Global Fixed Income Portfolio,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000","Excepted Investment Fund,","$15,001 - $50,000"
2.47,DFEM - Dimensional Emerging Markets Core Equity 2 ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
2.48,DUHP - Dimensional US High Profitability ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$201 - $1,000"
2.49,MBB - iShares MBS ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$250,001 - $500,000","Excepted Investment Fund,","$15,001 - $50,000"
3,UBS Account 6,Brokerage/Managed Account,Spouse,,,
3.1,Baldwin County AL General Obligation BondRate/Coupon: 5.0%  Matures: 05/01/2026Filer comment:  Called,Government SecuritiesMunicipal Security,Spouse,"None (or less than $1,001)","Interest,","$1,001 - $2,500"
3.2,Chatham County NC Limited Obligation BondRate/Coupon: 5.0%  Matures: 11/01/2031,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
3.3,Florida St Bd of Educ Revenue BondRate/Coupon: 5.0%  Matures: 06/01/2032,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
3.4,Florida St Rt of Way Construction Ref BondRate/Coupon: 5.0%  Matures: 06/01/2030,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
3.5,Hennepin County MN General Obligation BondRate/Coupon: 5.0%  Matures: 12/01/2032,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000","Interest,","$2,501 - $5,000"
3.6,Jefferson County CO Sch Dist Revenue BondRate/Coupon: 4.0%  Matures: 12/15/2033,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.7,Liberty Hill TX Indpt Sch Dist Revenue BondRate/Coupon: 5.0%  Matures: 02/01/2032,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.8,Maricopa County AZ Sch Dist Revenue BondRate/Coupon: 5.0%  Matures: 07/01/2027,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.9,Metropolitan Govt Nashville & Davidson TN Water & Sewer Revenue BondRate/Coupon: 5.0%  Matures: 07/01/2033,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000","Interest,","$1,001 - $2,500"
3.10,"Merrill Lynch(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"$500,001 - $1,000,000","Interest,","$15,001 - $50,000"
3.11,New York NY Transition Fin Auth Revenue BondRate/Coupon: 5.0%  Matures: 11/01/2032,Government SecuritiesMunicipal Security,Spouse,"$15,001 - $50,000","Interest,","$1,001 - $2,500"
3.12,New York NY Transition Fin Auth Revenue BondRate/Coupon: 5.0%  Matures: 11/01/2032,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.13,New York NY Transition Fin Auth Revenue BondRate/Coupon: 5.0%  Matures: 11/01/2032,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000","Interest,","$2,501 - $5,000"
3.14,New York NY Transition Fin Auth Revenue BondRate/Coupon: 5.0%  Matures: 11/01/2037,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000","Interest,","$2,501 - $5,000"
3.15,New York St Dorm Auth Revenue BondRate/Coupon: 5.0%  Matures: 03/15/2034,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
3.16,New York St Dorm Auth Revenue BondRate/Coupon: 5.0%  Matures: 03/15/2029,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000","Interest,","$2,501 - $5,000"
3.17,Richland County SC Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 03/01/2025,Government SecuritiesMunicipal Security,Spouse,"$15,001 - $50,000","Interest, Capital Gains,","$1,001 - $2,500"
3.18,Texas Water Dev Brd Revenue BondRate/Coupon: 4.55%  Matures: 10/15/2038,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000","Interest,","$2,501 - $5,000"
3.19,"U.S. Treasury Note 11/15/2032Rate/Coupon: None  Matures: NoneFiler comment:  4.125%, 11/15/2032",Government SecuritiesUS Treasury/Agency Security,Spouse,"$250,001 - $500,000","Interest,","$5,001 - $15,000"
3.20,"U.S. Treasury Note 12/31/2024Rate/Coupon: None  Matures: NoneFiler comment:  4.25%, 12/31/2024; Matured",Government SecuritiesUS Treasury/Agency Security,Spouse,"None (or less than $1,001)","Interest,","$2,501 - $5,000"
3.21,Univ of Wyoming Revenue BondRate/Coupon: 4.0%  Matures: 06/01/2038,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000","Interest,","$2,501 - $5,000"
3.22,Virginia St General Obligation BondRate/Coupon: 5.0%  Matures: 06/01/2036,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
3.23,Washington County UT Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 03/01/2030,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
3.24,Wisconsin St Revenue BondRate/Coupon: 5.0%  Matures: 07/01/2027,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.25,Woods Hole Mass St Revenue BondRate/Coupon: 5.0%  Matures: 03/01/2028,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000","Interest,","$2,501 - $5,000"
4,UBS Account 1,Brokerage/Managed Account,Joint,,,
4.1,SCHW - Charles Schwab Corporation (The) Common Stock,Corporate SecuritiesStock,Joint,"$5,000,001 - $25,000,000","Dividends,","$100,001 - $1,000,000"
4.2,"UBS Bank(New York, NY)Type: Brokerage Sweep Account, Money Market Account, Savings,",Bank Deposit,Joint,"$500,001 - $1,000,000","Interest,","$50,001 - $100,000"
5,JPR Spc TrustFiler comment:  Disclosed asset values represent spousal beneficial interest of 25%,TrustGeneral Trust,Spouse,,,
5.1,Merrill Lynch Acct 5,Brokerage/Managed Account,Spouse,,,
5.1.1,"CSP III Distressed Opportunities TrustDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
5.1.2,"GSO Mezzanine Finance TrustDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,","$201 - $1,000"
5.1.3,"GSO Mezzanine Finance Trust IIDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
5.1.4,"ORBIMED Healthcare Investments TrustDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Spouse,"$15,001 - $50,000","None, Excepted Investment Fund,","$2,501 - $5,000"
5.1.5,"Merrill Lynch(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"$50,001 - $100,000","Interest,",None (or less than $201)
5.2,UBS Account 7,Brokerage/Managed Account,Spouse,,,
5.2.1,MUB - iShares National Muni Bond ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000","Excepted Investment Fund,","$5,001 - $15,000"
5.2.2,"UBS Bank(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"$250,001 - $500,000","Interest,","$15,001 - $50,000"
5.2.3,VEA - Vanguard FTSE Developed Markets ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000","Excepted Investment Fund,","$5,001 - $15,000"
5.2.4,VWO - Vanguard FTSE Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000","Excepted Investment Fund,","$5,001 - $15,000"
5.2.5,VO - Vanguard Mid-Cap ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000","Excepted Investment Fund,","$5,001 - $15,000"
5.2.6,Vanguard S&P 500 ETF (VOO),Mutual FundsExchange Traded Fund/Note,Spouse,"$500,001 - $1,000,000","Excepted Investment Fund,","$5,001 - $15,000"
5.2.7,Vanguard Small-Cap Index Fund ETF Shares (VB),Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000","Excepted Investment Fund,","$2,501 - $5,000"
5.2.8,IGLB - iShares 10  Year Investment Grade Corporate Bond E,Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000","Excepted Investment Fund,","$5,001 - $15,000"
5.3,"RIFI LLCCompany: RIFI LLC (Wilmington, DE) Description: Holding company",Business EntityLimited Liability Company (LLC),Spouse,,,
5.3.1,SCHW - The Charles Schwab Corp,Corporate SecuritiesStock,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Dividends,","$100,001 - $1,000,000"
5.3.2,"UBS Bank(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Interest,","$50,001 - $100,000"
5.3.3,"Note receivable from JPR Spc TrustCompany: JPR Spc Trust (Wilmington, DE)",Accounts ReceivableFrom a Business,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Interest,","$100,001 - $1,000,000"
6,Non-Exempt Trust AFiler comment:  Asset valuation reflects reportable portion; transaction reports not required due to indirect trust,TrustGeneral Trust,Joint,,,
6.1,UBS Account 2,Brokerage/Managed Account,Joint,,,
6.1.1,"UBS Bank(New York, NY)Type: Brokerage Sweep Account, Savings,",Bank Deposit,Joint,"$250,001 - $500,000","Interest,","$15,001 - $50,000"
6.1.2,IEFA - iShares Core MSCI EAFE ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$50,001 - $100,000"
6.1.3,IEMG - iShares Core MSCI Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$500,001 - $1,000,000","Excepted Investment Fund,","$15,001 - $50,000"
6.1.4,IVV - iShares Core S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
6.1.5,JP Morgan Chase & Co. Perpetual BondRate/Coupon: 8.549%  Matures: 05/20/2049,Corporate SecuritiesCorporate Bond,Joint,"None (or less than $1,001)","Interest,","$1,001 - $2,500"
6.1.6,Citigroup Inc. PerpetualRate/Coupon: 7.125%  Matures: 11/15/2073,Corporate SecuritiesCorporate Bond,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
6.1.7,Fifth Third Bancorp PerpetualRate/Coupon: 4.5%  Matures: 07/30/2069,Corporate SecuritiesCorporate Bond,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
6.1.8,"Bank of America Savings 2(New York, NY)Type: Savings,",Bank Deposit,Joint,"$250,001 - $500,000","Interest,","$15,001 - $50,000"
6.2,JP Morgan Brokerage,Brokerage/Managed Account,Joint,,,
6.2.1,BSIIX - Blackrock Strategic Income Opportunities Portfol,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","None,",None (or less than $201)
6.2.2,DMCRX - Driehaus Micro Cap Growth Fund,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$2,501 - $5,000"
6.2.3,PMFLX - Pimco Flexible Municipal Income Fund Institution,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000","Excepted Investment Fund,","$15,001 - $50,000"
6.2.4,RMBMX - Rmb Smid Cap Fund Class I,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$1,001 - $2,500"
6.2.5,"Citibank(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Joint,"$250,001 - $500,000","Interest,","$5,001 - $15,000"
6.3,JP Morgan Brokerage Acct 2,Brokerage/Managed Account,Joint,,,
6.3.1,Bank of America PerpetualRate/Coupon: 5.125%  Matures: 12/31/2049Filer comment:  Income treated as dividends due to derivative nature of asset,Corporate SecuritiesCorporate Bond,Joint,"None (or less than $1,001)","Dividends,","$2,501 - $5,000"
6.3.2,Citigroup Inc. PerpetualRate/Coupon: 5.0%  Matures: 12/31/2049Filer comment:  Income treated as dividends due to derivative nature of asset,Corporate SecuritiesCorporate Bond,Joint,"None (or less than $1,001)","Dividends,","$2,501 - $5,000"
6.3.3,Citigroup Inc. PerpetualRate/Coupon: 4.7%  Matures: 12/31/2049Filer comment:  Income treated as dividends due to derivative nature of asset,Corporate SecuritiesCorporate Bond,Joint,"$1,001 - $15,000","Dividends,","$201 - $1,000"
6.3.4,Goldman Sachs Group PerpetualRate/Coupon: 4.95%  Matures: 12/31/2049Filer comment:  Income treated as dividends due to derivative nature of asset,Corporate SecuritiesCorporate Bond,Joint,"$50,001 - $100,000","Dividends,","$2,501 - $5,000"
6.3.5,Citigroup Inc. PerpetualRate/Coupon: 7.2%  Matures: 12/31/2049Filer comment:  Income treated as dividends due to derivative nature of asset,Corporate SecuritiesCorporate Bond,Joint,"$50,001 - $100,000","Dividends,","$2,501 - $5,000"
6.3.6,Goldman Sachs Group PerpetualRate/Coupon: 7.5%  Matures: 04/23/2173Filer comment:  Income treated as dividends due to derivative nature of asset,Corporate SecuritiesCorporate Bond,Joint,"$100,001 - $250,000","Dividends,","$5,001 - $15,000"
6.4,UBS Account 8,Brokerage/Managed Account,Joint,,,
6.4.1,SCHW - Charles Schwab Corporation (The) Common Stock,Corporate SecuritiesStock,Joint,"$5,000,001 - $25,000,000","Dividends,","$50,001 - $100,000"
6.4.2,SCHW - Charles Schwab Corporation (The) Common StockStrike price: $88.00 | CallExpires: 02/21/2025,Corporate SecuritiesStock Option,Joint,"None (or less than $1,001)","Capital Gains,","$50,001 - $100,000"
6.4.3,"UBS Bank(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Joint,"$1,000,001 - $5,000,000","Interest,","$15,001 - $50,000"
6.5,UBS Account 3,Brokerage/Managed Account,Joint,,,
6.5.1,"UBS Bank(New York, NY)Type: Brokerage Sweep Account, Savings,",Bank Deposit,Joint,"$250,001 - $500,000","Interest,","$5,001 - $15,000"
6.5.2,Dalton Whitfield County Dev Auth Revenue BondRate/Coupon: 5.0%  Matures: 08/15/2032,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000","None,",None (or less than $201)
6.6,Bank of America - Nuveen Muni Account,Brokerage/Managed Account,Joint,,,
6.6.1,Albuquerque NM Mun Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 08/01/2035,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000","Interest,","$201 - $1,000"
6.6.2,Broward County Florida Airport System Revenue BondRate/Coupon: 5.0%  Matures: 10/01/2033,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000","Interest,","$1,001 - $2,500"
6.6.3,Buffalo Grove IL General Obligation BondRate/Coupon: 5.0%  Matures: 12/30/2037,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000","Interest,","$201 - $1,000"
6.6.4,Cooper Green Mercy Health Svcs Auth AL Revenue BondRate/Coupon: 5.0%  Matures: 09/01/2038,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000","Interest,","$1,001 - $2,500"
6.6.5,Collier County FL Wtr-Swr Dist Revenue BondRate/Coupon: 5.0%  Matures: 07/01/2034,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$201 - $1,000"
6.6.6,"Bank of America(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Joint,"$50,001 - $100,000","Interest,","$5,001 - $15,000"
6.6.7,Douglas County Neb Hosp Auth Revenue BondRate/Coupon: 5.0%  Matures: 11/15/2035,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000","Interest,","$1,001 - $2,500"
6.6.8,Douglas County Neb Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 12/1/2039,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$2,501 - $5,000"
6.6.9,Elk Grove Village IL General Obligation BondRate/Coupon: 5.0%  Matures: 01/01/2029,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$201 - $1,000"
6.6.10,Forsyth County GA General Obligation BondRate/Coupon: 5.0%  Matures: 03/01/2026,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$201 - $1,000"
6.6.11,Georgia St General Obligation BondRate/Coupon: 4.503%  Matures: 11/01/2025,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000","Interest,","$1,001 - $2,500"
6.6.12,Greater Asheville NC Regl Arpt Auth Revenue BoneRate/Coupon: 5.25%  Matures: 07/01/2038,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$2,501 - $5,000"
6.6.13,Hawaii St Arpt Auth Revenue BondRate/Coupon: 2.008%  Matures: 07/01/2024,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$201 - $1,000"
6.6.14,Hillsborough County FL Aviation Revenue BondRate/Coupon: 5.0%  Matures: 10/01/2033,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$1,001 - $2,500"
6.6.15,Idaho Health Facs Revenue BondRate/Coupon: 5.0%  Matures: 03/01/2037,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$2,501 - $5,000"
6.6.16,Illinois St General Obligation BondRate/Coupon: 5.0%  Matures: 11/01/2024,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$2,501 - $5,000"
6.6.17,Indiana Fin Auth Health Sys Revenue BondRate/Coupon: 2.25%  Matures: 12/01/2058,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
6.6.18,Kentucky Rural Water Fin Corp Revenue BondRate/Coupon: 3.5%  Matures: 08/01/2024,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$1,001 - $2,500"
6.6.19,Las Vegas Valley NV Water Dist Revenue BondRate/Coupon: 5.0%  Matures: 06/01/2039,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$201 - $1,000"
6.6.20,Lincoln Neb Elec Sys Revenue BondRate/Coupon: 5.0%  Matures: 09/01/2034,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$1,001 - $2,500"
6.6.21,Love Field TX Airport Modernization Revenue BondRate/Coupon: 5.0%  Matures: 11/01/2031,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$201 - $1,000"
6.6.22,Madison AL General Obligation BondRate/Coupon: 5.0%  Matures: 12/01/2034,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$2,501 - $5,000"
6.6.23,Maricopa County AZ Revenue BondRate/Coupon: 5.0%  Matures: 01/01/2033,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$1,001 - $2,500"
6.6.24,Maricopa County AZ Revenue BondRate/Coupon: 5.0%  Matures: 01/01/2031,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$201 - $1,000"
