Name,Office,Filing Year,Filing,Report URL
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024580.pdf
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024671.pdf
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024797.pdf
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024984.pdf
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025194.pdf
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025219.pdf
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025403.pdf
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025603.pdf
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025787.pdf
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025970.pdf
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026141.pdf
"Buck, Hon.. Kenneth R.",Former Member (CO04 ),2023 - 2024,Extension,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/30019636.pdf
"Buck, Hon.. Kenneth R.",Former Member (CO04),2024,Termination,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10056983.pdf
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024265.pdf
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024330.pdf
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024437.pdf
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024627.pdf
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024722.pdf
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024838.pdf
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024966.pdf
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025548.pdf
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025605.pdf
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025791.pdf
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025942.pdf
"Carter, Hon.. Earl Leroy",GA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025257.pdf
"Carter, Hon.. Earl Leroy",GA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025349.pdf
"Carter, Hon.. Earl Leroy",GA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025499.pdf
"Casten, Hon.. Sean",IL06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20023805.pdf
"Casten, Hon.. Sean",IL06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025384.pdf
"Casten, Hon.. Sean",IL06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025700.pdf
"Castor, Hon.. Kathy",FL14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024754.pdf
"Castor, Hon.. Kathy",FL14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025475.pdf
"Chu, Hon.. Judy",CA28,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024347.pdf
"Clark, Hon.. Katherine M.",MA05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024435.pdf
"Clark, Hon.. Katherine M.",MA05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024588.pdf
"Clark, Hon.. Katherine M.",MA05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024795.pdf
"Cohen, Hon.. Steve",TN09,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024188.pdf
"Cohen, Hon.. Steve",TN09,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024540.pdf
"Collins, Hon.. Michael A.",GA10,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024275.pdf
"Collins, Hon.. Michael A.",GA10,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025282.pdf
"Collins, Hon.. Michael A.",GA10,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025446.pdf
"Collins, Hon.. Michael A.",GA10,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025729.pdf
"Collins, Hon.. Michael A.",GA10,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026127.pdf
"Connolly, Hon.. Gerald E.",VA11,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024728.pdf
"Connolly, Hon.. Gerald E.",VA11,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025404.pdf
"Connolly, Hon.. Gerald E.",VA11,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026009.pdf
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024317.pdf
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024425.pdf
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024495.pdf
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024581.pdf
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025178.pdf
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025312.pdf
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025379.pdf
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025568.pdf
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025705.pdf
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025768.pdf
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025940.pdf
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026123.pdf
"Dingell, Hon.. Debbie",MI06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024270.pdf
"Dingell, Hon.. Debbie",MI06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025056.pdf
"Dingell, Hon.. Debbie",MI06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025306.pdf
"Dingell, Hon.. Debbie",MI06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026160.pdf
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024268.pdf
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024611.pdf
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024839.pdf
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024997.pdf
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025202.pdf
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025397.pdf
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025592.pdf
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025822.pdf
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026002.pdf
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026151.pdf
"Donalds, Hon.. Byron",FL19,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026099.pdf
"Duncan, Hon.. Jeff",SC03,2024,Gift Waiver,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/8220520.pdf
"Duncan, Hon.. Jeff",SC03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20000788.pdf
"Dunn, MD, FACS, Hon.. Neal Patrick",FL02,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025104.pdf
"Dunn, MD, FACS, Hon.. Neal Patrick",FL02,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026140.pdf
"Evans, Hon.. Dwight",PA03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024324.pdf
"Fleischmann, Hon.. Charles J. ""Chuck""",TN03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/8220147.pdf
"Fleischmann, Hon.. Charles J. ""Chuck""",TN03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/8220317.pdf
"Fleischmann, Hon.. Charles J. ""Chuck""",TN03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/8220617.pdf
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024230.pdf
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024424.pdf
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024596.pdf
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024825.pdf
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024996.pdf
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025200.pdf
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025588.pdf
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025771.pdf
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026032.pdf
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026124.pdf
"Frankel, Hon.. Lois",FL22,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025035.pdf
"Franklin, Hon.. C. Scott",FL18,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024916.pdf
"Franklin, Hon.. C. Scott",FL18,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025170.pdf
"Franklin, Hon.. C. Scott",FL18,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025711.pdf
"Franklin, Hon.. C. Scott",FL18,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026020.pdf
"Gallagher, Hon.. Michael John",Former Member (WI08 ),2023 - 2024,Extension,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/30020952.pdf
"Gallagher, Hon.. Michael John",Former Member (WI08),2024,Termination,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10059196.pdf
"Gallego, Hon.. Ruben",AZ03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025670.pdf
"Garcia, Hon.. Michael",CA27,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024673.pdf
"Garcia, Hon.. Michael",CA27,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025632.pdf
"Gonzalez Colon, Hon.. Jenniffer",PR00,2024,Gift Waiver,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/8220521.pdf
"Gooden, Hon.. Lance",TX05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025806.pdf
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024248.pdf
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024461.pdf
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024612.pdf
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024801.pdf
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025020.pdf
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025207.pdf
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025419.pdf
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025678.pdf
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025804.pdf
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025953.pdf
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026154.pdf
"Graves, Hon.. Garret",LA06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024517.pdf
"Green, Hon.. Al",TX09,2024,Gift Waiver,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/8220183.pdf
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024062.pdf
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024413.pdf
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024572.pdf
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024677.pdf
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024800.pdf
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024954.pdf
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025064.pdf
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025255.pdf
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025429.pdf
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025614.pdf
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025797.pdf
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025948.pdf
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026092.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024924.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025021.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025108.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025337.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025518.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025572.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025675.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025722.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025777.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025821.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025889.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025986.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025998.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026059.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026149.pdf
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026174.pdf
"Grothman, Hon.. Glenn S.",WI06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025026.pdf
"Guest, Hon.. Michael Patrick",MS03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024622.pdf
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024305.pdf
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024481.pdf
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024669.pdf
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024869.pdf
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025040.pdf
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025232.pdf
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025473.pdf
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025634.pdf
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026033.pdf
"Higgins, Hon.. Brian",Former Member (NY26),2024,Termination,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10056951.pdf
"Hill, Hon.. James French",AR02,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024215.pdf
"Issa, Hon.. Darrell E.",CA48,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025909.pdf
"Issa, Hon.. Darrell E.",CA48,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025913.pdf
"Jackson, Hon.. Jonathan",IL01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024253.pdf
"Jackson, Hon.. Jonathan",IL01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024450.pdf
"Jackson, Hon.. Jonathan",IL01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024606.pdf
"Jackson, Hon.. Jonathan",IL01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024811.pdf
"Jackson, Hon.. Jonathan",IL01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025000.pdf
"Jackson, Hon.. Jonathan",IL01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025635.pdf
"Jackson, Hon.. Jonathan",IL01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025792.pdf
"Jackson, Hon.. Jonathan",IL01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025938.pdf
"James, Hon.. John",MI10,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025719.pdf
"James, Hon.. John",MI10,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025799.pdf
"Johnson, Hon.. Bill",Former Member (OH06 ),2023 - 2024,Extension,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/30019614.pdf
"Johnson, Hon.. Bill",Former Member (OH06),2024,Termination,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10056805.pdf
"Joyce, Hon.. David P.",OH14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20021523.pdf
"Kean, Hon.. Thomas H. Jr..",NJ07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024309.pdf
"Kean, Hon.. Thomas H. Jr..",NJ07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024509.pdf
