Name,Office,Filing Year,Filing,Report URL,Found,Assets,Quotes
"Beyer, Hon.. Donald Sternoff Jr.",VA08,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024769.pdf,False,,
"Beyer, Hon.. Donald Sternoff Jr.",VA08,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025133.pdf,False,,
"Beyer, Hon.. Donald Sternoff Jr.",VA08,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025776.pdf,False,,
"Beyer, Hon.. Donald Sternoff Jr.",VA08,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026134.pdf,False,,
"Bice, Hon.. Stephanie",OK05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025620.pdf,False,,
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024254.pdf,False,,
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024580.pdf,False,,
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024671.pdf,False,,
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024797.pdf,False,,
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024984.pdf,False,,
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025194.pdf,False,,
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025219.pdf,False,,
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025403.pdf,False,,
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025603.pdf,False,,
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025787.pdf,False,,
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025970.pdf,False,,
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026141.pdf,False,,
"Buck, Hon.. Kenneth R.",Former Member (CO04 ),2023 - 2024,Extension,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/30019636.pdf,False,,
"Buck, Hon.. Kenneth R.",Former Member (CO04),2024,Termination,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10056983.pdf,False,,
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024265.pdf,False,,
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024330.pdf,False,,
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024437.pdf,False,,
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024627.pdf,False,,
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024722.pdf,False,,
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024838.pdf,False,,
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024966.pdf,False,,
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025548.pdf,False,,
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025605.pdf,False,,
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025791.pdf,False,,
"Burgess, Hon.. Michael C.",TX26,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025942.pdf,False,,
"Carter, Hon.. Earl Leroy",GA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025257.pdf,False,,
"Carter, Hon.. Earl Leroy",GA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025349.pdf,False,,
"Carter, Hon.. Earl Leroy",GA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025499.pdf,False,,
"Casten, Hon.. Sean",IL06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20023805.pdf,False,,
"Casten, Hon.. Sean",IL06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025384.pdf,False,,
"Casten, Hon.. Sean",IL06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025700.pdf,False,,
"Castor, Hon.. Kathy",FL14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024754.pdf,False,,
"Castor, Hon.. Kathy",FL14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025475.pdf,False,,
"Chu, Hon.. Judy",CA28,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024347.pdf,False,,
"Clark, Hon.. Katherine M.",MA05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024435.pdf,False,,
"Clark, Hon.. Katherine M.",MA05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024588.pdf,False,,
"Clark, Hon.. Katherine M.",MA05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024795.pdf,False,,
"Cohen, Hon.. Steve",TN09,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024188.pdf,False,,
"Cohen, Hon.. Steve",TN09,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024540.pdf,False,,
"Collins, Hon.. Michael A.",GA10,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024275.pdf,True,Ethereum (ETH),"ETH Cryptocurrency  [OT] P 01/03/2024 01/03/2024 $1,001 - $15,000 | ETH Cryptocurrency  [OT] P 01/08/2024 01/08/2024 $15,001 - $50,000"
"Collins, Hon.. Michael A.",GA10,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025282.pdf,True,Velodrome,Velodrome  [CT]
"Collins, Hon.. Michael A.",GA10,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025446.pdf,True,Velodrome,"Velodrome  [CT] S 06/24/2024 06/24/2024 $1,001 - $15,000"
"Collins, Hon.. Michael A.",GA10,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025729.pdf,False,,
"Collins, Hon.. Michael A.",GA10,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026127.pdf,True,Ethereum,"Ethereum Crypto currency  [CT] P 10/16/2024 10/16/2024 $1,001 - $15,000 | Ethereum Crypto currency  [CT] P 10/07/2024 10/07/2024 $1,001 - $15,000 | Ethereum Crypto currency  [CT] P 10/30/2024 10/30/2024 $15,001 - $50,000"
"Connolly, Hon.. Gerald E.",VA11,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024728.pdf,False,,
"Connolly, Hon.. Gerald E.",VA11,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025404.pdf,False,,
"Connolly, Hon.. Gerald E.",VA11,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026009.pdf,False,,
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024317.pdf,False,,
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024425.pdf,False,,
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024495.pdf,False,,
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024581.pdf,False,,
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025178.pdf,False,,
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025312.pdf,False,,
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025379.pdf,False,,
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025568.pdf,False,,
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025705.pdf,False,,
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025768.pdf,False,,
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025940.pdf,False,,
"DelBene, Hon.. Suzan K.",WA01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026123.pdf,False,,
"Dingell, Hon.. Debbie",MI06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024270.pdf,False,,
"Dingell, Hon.. Debbie",MI06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025056.pdf,False,,
"Dingell, Hon.. Debbie",MI06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025306.pdf,False,,
"Dingell, Hon.. Debbie",MI06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026160.pdf,False,,
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024268.pdf,False,,
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024611.pdf,False,,
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024839.pdf,False,,
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024997.pdf,False,,
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025202.pdf,False,,
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025397.pdf,False,,
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025592.pdf,False,,
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025822.pdf,False,,
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026002.pdf,False,,
"Doggett, Hon.. Lloyd",TX37,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026151.pdf,False,,
"Donalds, Hon.. Byron",FL19,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026099.pdf,False,,
"Duncan, Hon.. Jeff",SC03,2024,Gift Waiver,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/8220520.pdf,False,,
"Duncan, Hon.. Jeff",SC03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20000788.pdf,False,,
"Dunn, MD, FACS, Hon.. Neal Patrick",FL02,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025104.pdf,False,,
"Dunn, MD, FACS, Hon.. Neal Patrick",FL02,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026140.pdf,False,,
"Evans, Hon.. Dwight",PA03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024324.pdf,False,,
"Fleischmann, Hon.. Charles J. ""Chuck""",TN03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/8220147.pdf,False,,
"Fleischmann, Hon.. Charles J. ""Chuck""",TN03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/8220317.pdf,False,,
"Fleischmann, Hon.. Charles J. ""Chuck""",TN03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/8220617.pdf,False,,
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024230.pdf,False,,
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024424.pdf,False,,
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024596.pdf,False,,
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024825.pdf,False,,
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024996.pdf,False,,
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025200.pdf,False,,
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025588.pdf,False,,
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025771.pdf,False,,
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026032.pdf,False,,
"Foxx, Hon.. Virginia",NC05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026124.pdf,False,,
"Frankel, Hon.. Lois",FL22,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025035.pdf,False,,
"Franklin, Hon.. C. Scott",FL18,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024916.pdf,False,,
"Franklin, Hon.. C. Scott",FL18,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025170.pdf,False,,
"Franklin, Hon.. C. Scott",FL18,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025711.pdf,False,,
"Franklin, Hon.. C. Scott",FL18,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026020.pdf,False,,
"Gallagher, Hon.. Michael John",Former Member (WI08 ),2023 - 2024,Extension,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/30020952.pdf,False,,
"Gallagher, Hon.. Michael John",Former Member (WI08),2024,Termination,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10059196.pdf,False,,
"Gallego, Hon.. Ruben",AZ03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025670.pdf,False,,
"Garcia, Hon.. Michael",CA27,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024673.pdf,False,,
"Garcia, Hon.. Michael",CA27,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025632.pdf,False,,
"Gonzalez Colon, Hon.. Jenniffer",PR00,2024,Gift Waiver,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/8220521.pdf,False,,
"Gooden, Hon.. Lance",TX05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025806.pdf,False,,
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024248.pdf,False,,
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024461.pdf,False,,
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024612.pdf,False,,
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024801.pdf,False,,
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025020.pdf,False,,
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025207.pdf,False,,
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025419.pdf,False,,
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025678.pdf,False,,
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025804.pdf,False,,
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025953.pdf,False,,
"Gottheimer, Hon.. Josh",NJ05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026154.pdf,False,,
"Graves, Hon.. Garret",LA06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024517.pdf,False,,
"Green, Hon.. Al",TX09,2024,Gift Waiver,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/8220183.pdf,False,,
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024062.pdf,False,,
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024413.pdf,False,,
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024572.pdf,False,,
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024677.pdf,False,,
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024800.pdf,False,,
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024954.pdf,False,,
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025064.pdf,False,,
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025255.pdf,False,,
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025429.pdf,False,,
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025614.pdf,False,,
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025797.pdf,False,,
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025948.pdf,False,,
"Green, Hon.. Mark Dr",TN07,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026092.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024924.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025021.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025108.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025337.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025518.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025572.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025675.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025722.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025777.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025821.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025889.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025986.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025998.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026059.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026149.pdf,False,,
"Greene, Hon.. Marjorie Taylor Mrs",GA14,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026174.pdf,False,,
"Grothman, Hon.. Glenn S.",WI06,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025026.pdf,False,,
"Guest, Hon.. Michael Patrick",MS03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024622.pdf,False,,
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024305.pdf,False,,
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024481.pdf,False,,
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024669.pdf,False,,
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024869.pdf,False,,
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025040.pdf,False,,
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025232.pdf,False,,
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025473.pdf,False,,
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025634.pdf,False,,
"Hern, Hon.. Kevin",OK01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026033.pdf,False,,
"Higgins, Hon.. Brian",Former Member (NY26),2024,Termination,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10056951.pdf,False,,
"Hill, Hon.. James French",AR02,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024215.pdf,False,,
"Issa, Hon.. Darrell E.",CA48,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025909.pdf,False,,
"Issa, Hon.. Darrell E.",CA48,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025913.pdf,False,,
"Jackson, Hon.. Jonathan",IL01,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024253.pdf,False,,
